Class Session Code,Subject Area,Course Catalog Number,Class Number,Course Component Short Description,Class Start Date,End Date,Instruction Mode Description,Facility ID,Start Time,End Time,Derived Meeting Pattern,Instructor Name,Instructor Role Description
1,CHEM-C,340,27187,Laboratory,1/12/2026,5/8/2026,In Person,HUNT227,10:00:00 AM,12:30:00 PM,T,"Masuda,Hisako",Primary Instructor
1,CHEM-C,340,27187,Laboratory,1/12/2026,5/8/2026,In Person,HUNT227,10:00:00 AM,12:30:00 PM,R,"Masuda,Hisako",Primary Instructor
1,CHEM-C,342,27411,Lecture,1/12/2026,5/8/2026,In Person,KOMN101,10:00:00 AM,11:15:00 AM,TRF,"Hossain,Mohammad",Primary Instructor
1,CHEM-C,344,26719,Laboratory,1/12/2026,5/8/2026,In Person,HUNT232,1:30:00 PM,4:30:00 PM,W,"Hossain,Mohammad",Primary Instructor
1,CHEM-C,344,26719,Laboratory,1/12/2026,5/8/2026,In Person,KOMN101,11:30:00 AM,12:30:00 PM,T,"Hossain,Mohammad",Primary Instructor
1,CHEM-C,344,26815,Laboratory,1/12/2026,5/8/2026,In Person,HUNT232,1:30:00 PM,4:30:00 PM,R,"Hossain,Mohammad",Primary Instructor
1,CHEM-C,344,26815,Laboratory,1/12/2026,5/8/2026,In Person,KOMN101,11:30:00 AM,12:30:00 PM,T,"Hossain,Mohammad",Primary Instructor
1,CHEM-C,409,34093,Research,1/12/2026,5/8/2026,In Person, , , , ,"Kasem,Kasem Kamel",Primary Instructor
1,CJHS-J,101,26807,Lecture,1/12/2026,5/8/2026,In Person,KOE103,10:00:00 AM,11:15:00 AM,MW,"Fisher,Kelly Lynn",Primary Instructor
1,CJHS-J,101,27200,Lecture,1/12/2026,5/8/2026,In Person,KOE103,1:00:00 PM,2:15:00 PM,MW,"Fisher,Kelly Lynn",Primary Instructor
1,CJHS-J,320,26798,Lecture,1/12/2026,5/8/2026,In Person,KOE103,2:30:00 PM,3:45:00 PM,TR,"Kinney,Sean P",Primary Instructor
1,CSCI-B,100,26977,Lecture,1/12/2026,5/8/2026,In Person,HUNT201,7:00:00 PM,8:45:00 PM,MW,"Grant,Johnathan E",Primary Instructor
1,CSCI-C,101,26929,Lecture,1/12/2026,5/8/2026,In Person,HUNT201,11:00:00 AM,12:45:00 PM,TR,"Alnusair,Awny",Primary Instructor
1,CSCI-C,201,26964,Lecture,1/12/2026,5/8/2026,In Person,HUNT201,8:30:00 AM,10:15:00 AM,TR,"Mairaj,Aakif",Primary Instructor
1,CSCI-C,201,28529,Lecture,1/12/2026,5/8/2026,In Person, , , , ,"Mairaj,Aakif",Primary Instructor
1,CSCI-C,311,27038,Lecture,1/12/2026,5/8/2026,In Person,HUNT224,2:30:00 PM,3:45:00 PM,TR,"Mairaj,Aakif",Primary Instructor
1,CSCI-C,335,27039,Lecture,1/12/2026,5/8/2026,In Person,HUNT224,1:00:00 PM,2:15:00 PM,TR,"Aktaruzzaman,Md",Primary Instructor
1,CSCI-C,400,27040,Lecture,1/12/2026,5/8/2026,In Person,HUNT201,1:00:00 PM,2:15:00 PM,MW,"Aktaruzzaman,Md",Primary Instructor
1,CSCI-C,442,27092,Lecture,1/12/2026,5/8/2026,In Person,HUNT224,2:30:00 PM,3:45:00 PM,MW,"Liu,Yang",Primary Instructor
1,CSCI-C,455,27093,Lecture,1/12/2026,5/8/2026,In Person,HUNT224,4:00:00 PM,5:15:00 PM,MW,"Mairaj,Aakif",Primary Instructor
1,CSCI-C,486,31039,Research,1/12/2026,5/8/2026,Independent/Directed Study,OLONLINE, , , ,"Yu,Liguo",Primary Instructor
1,CSCI-C,490,27041,Lecture,1/12/2026,5/8/2026,In Person,HUNT224,11:30:00 AM,12:45:00 PM,TR,"Aktaruzzaman,Md",Primary Instructor
1,ECON-E,201,27184,Lecture,1/12/2026,5/8/2026,In Person,KOMN102,1:00:00 PM,2:15:00 PM,TR,"Zhukov,Konstantin",Primary Instructor
1,ECON-E,202,26721,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,10:00:00 AM,11:15:00 AM,MW,"Geiger,James David",Primary Instructor
1,ECON-E,270,27021,Lecture,1/12/2026,5/8/2026,In Person,KELL114,1:00:00 PM,2:15:00 PM,MW,"Geiger,James David",Primary Instructor
8W1,EDUC-E,325,27476,Lecture,1/12/2026,3/6/2026,Hybrid-On Campus & Online,KOMN104,6:30:00 PM,8:15:00 PM,M,"Huber,Natalie Michelle",Primary Instructor
1,EDUC-E,328,28383,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN176,4:45:00 PM,6:00:00 PM,T,"Wang,Lu",Primary Instructor
1,EDUC-E,328,28384,Practicum,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN176,8:30:00 AM,12:00:00 PM,W,"Wang,Lu",Primary Instructor
8W1,EDUC-E,328,31736,Lecture,1/12/2026,3/6/2026,Hybrid-On Campus & Online,KOMN176,6:30:00 PM,8:15:00 PM,M,"Wang,Lu",Primary Instructor
8W1,EDUC-E,328,31737,Practicum,1/12/2026,3/6/2026,In Person, , , , ,"Wang,Lu",Primary Instructor
1,EDUC-E,337,27070,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN176,12:00:00 PM,2:00:00 PM,R,"Hanson,Amanda",Primary Instructor
1,EDUC-E,339,27477,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN113,4:45:00 PM,6:15:00 PM,M,"Michels,Brenna Lynne",Primary Instructor
1,EDUC-E,339,27478,Practicum,1/12/2026,5/8/2026,Hybrid-On Campus & Online, , , , ,"Michels,Brenna Lynne",Primary Instructor
1,EDUC-E,340,27479,Lecture,1/12/2026,5/8/2026,In Person,KOMN106,5:00:00 PM,7:45:00 PM,T,"Acton,Lindsey L",Primary Instructor
1,EDUC-E,340,27479,Lecture,1/12/2026,5/8/2026,In Person,KOMN106,5:00:00 PM,7:45:00 PM,T,"Saam,Julie Reinhardt",Grading Proxy
1,EDUC-E,340,27482,Practicum,1/12/2026,5/8/2026,Internship/Practica,KOMN104,8:30:00 AM,12:00:00 PM,W,"Acton,Lindsey L",Primary Instructor
1,EDUC-E,341,27483,Lecture,1/12/2026,5/8/2026,In Person,KOMN281,10:00:00 AM,12:45:00 PM,M,"Gillam,Holly Beth",Primary Instructor
1,EDUC-E,343,29411,Lecture,1/12/2026,5/8/2026,In Person,KOMN176,6:15:00 PM,7:30:00 PM,T,"Wang,Lu",Primary Instructor
1,EDUC-E,343,31743,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN179,4:45:00 PM,6:15:00 PM,M,"Smith,Amy Linn",Primary Instructor
1,EDUC-E,343,31744,Practicum,1/12/2026,5/8/2026,In Person, , , , ,"Smith,Amy Linn",Primary Instructor
1,EDUC-E,349,27485,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN176,5:00:00 PM,6:30:00 PM,R,"Maxwell,Bailley",Primary Instructor
1,EDUC-E,513,27352,Lecture,1/12/2026,5/8/2026,Hybrid-Distance Video & Online,KOWBWEB, , , ,"Freestone,Erin Renee",Primary Instructor
1,EDUC-F,205,26914,Lecture,1/12/2026,5/8/2026,In Person,KOMN201,4:00:00 PM,6:00:00 PM,M,"Maurer,Randy Joseph",Primary Instructor
1,EDUC-F,205,26914,Lecture,1/12/2026,5/8/2026,In Person,KOMN201,4:00:00 PM,6:00:00 PM,M,"Saam,Julie Reinhardt",Grading Proxy
1,EDUC-F,401,27120,Lecture,1/12/2026,5/8/2026,In Person,KOMN176,10:30:00 AM,11:45:00 AM,TR,"Fortner,Shelbi Ann",Primary Instructor
1,EDUC-F,401,34635,Lecture,1/12/2026,5/8/2026,Hybrid-Distance Video & Online,KOWBWEB,5:00:00 PM,7:00:00 PM,W,"Smith,Amy Linn",Primary Instructor
1,EDUC-F,501,31746,Lecture,1/12/2026,5/8/2026,Hybrid-Distance Video & Online,KOWBWEB,5:00:00 PM,7:00:00 PM,W,"Smith,Amy Linn",Primary Instructor
1,EDUC-F,501,31748,Lecture,1/12/2026,5/8/2026,Hybrid-Distance Video & Online,KOWBWEB,5:00:00 PM,7:00:00 PM,W,"Smith,Amy Linn",Primary Instructor
1,EDUC-H,340,26829,Lecture,1/12/2026,5/8/2026,In Person,KOMN281,12:30:00 PM,3:15:00 PM,R,"Grubb,Sarrah Jean",Primary Instructor
1,EDUC-K,205,27065,Lecture,1/12/2026,5/8/2026,In Person,KOMN104,2:30:00 PM,5:15:00 PM,M,"Beyioku,Cheryl",Primary Instructor
1,EDUC-K,205,27066,Lecture,1/12/2026,5/8/2026,In Person,KOOCOC, , , ,"Smith,Amy Linn",Primary Instructor
1,EDUC-K,205,27177,Lecture,1/12/2026,5/8/2026,In Person,KOMN176,9:00:00 AM,11:30:00 AM,M,"Beyioku,Cheryl",Primary Instructor
1,EDUC-K,205,27571,Lecture,1/12/2026,5/8/2026,In Person,KOOCOC, , , ,"Newman,Ryan Scott",Primary Instructor
1,EDUC-K,306,27127,Lecture,1/12/2026,5/8/2026,In Person,KOMN176,5:00:00 PM,7:30:00 PM,W,"Helmberger,Tenicia Rae",Primary Instructor
